"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.1,80,100,"TT",15.6258141087748
0.3,80,100,"AC",19.2932243198078
0.1,100,100,"AC",23.5031408217964
0.3,100,100,"TT",17.8664070649831
0.1,80,120,"AC",23.2667291449833
0.3,80,120,"TT",18.101996373973
0.1,100,120,"TT",20.9577982871757
0.3,100,120,"AC",25.4686191293641
0.1,80,100,"TT",15.4775645271954
0.3,80,100,"AC",21.1523382017647
0.1,100,100,"AC",24.972740893531
0.3,100,100,"TT",19.4981926322193
0.1,80,120,"AC",24.0747848719058
0.3,80,120,"TT",18.4037339821407
0.1,100,120,"TT",20.3538790517177
0.3,100,120,"AC",23.6940079278232
0.1,80,100,"TT",14.8433473996883
0.3,80,100,"AC",20.909873395763
0.1,100,100,"AC",24.6009028546771
0.3,100,100,"TT",21.3635270559968
0.1,80,120,"AC",23.0812706408221
0.3,80,120,"TT",18.5303916552466
0.1,100,120,"TT",20.3196774601405
0.3,100,120,"AC",24.7452354912044
0.1,80,100,"TT",17.3050441967548
0.3,80,100,"AC",21.6013524115586
0.1,100,100,"AC",23.3672339952433
0.3,100,100,"TT",19.5906627514749
0.1,80,120,"AC",23.5151483989476
0.3,80,120,"TT",19.5784993617599
0.1,100,120,"TT",21.0199808484226
0.3,100,120,"AC",25.4658581289893
0.1,80,100,"TT",16.7342492622
0.3,80,100,"AC",21.1893511996867
0.1,100,100,"AC",24.4006086838511
0.3,100,100,"TT",20.266995836674
0.1,80,120,"AC",23.2950725904141
0.3,80,120,"TT",19.1234635258389
0.1,100,120,"TT",19.380108247728
0.3,100,120,"AC",26.1479661471721
0.1,80,100,"TT",16.3861910612601
0.3,80,100,"AC",21.9183142810116
0.1,100,100,"AC",25.7697877823386
0.3,100,100,"TT",20.5723753877344
0.1,80,120,"AC",22.5054855924303
0.3,80,120,"TT",18.7849476272939
0.1,100,120,"TT",19.6421665465631
0.3,100,120,"AC",24.4301270292881
0.1,80,100,"TT",15.8479015165604
0.3,80,100,"AC",21.6074645203443
0.1,100,100,"AC",25.6615705457113
0.3,100,100,"TT",17.367072664009
0.1,80,120,"AC",24.3610811664372
0.3,80,120,"TT",18.5920523453417
0.1,100,120,"TT",22.0386028390953
0.3,100,120,"AC",25.7071368012241
0.1,80,100,"TT",16.553724031237
0.3,80,100,"AC",20.3694746569623
0.1,100,100,"AC",25.3697392299774
0.3,100,100,"TT",19.623857946849
0.1,80,120,"AC",23.1487902110547
0.3,80,120,"TT",19.7407883778996
0.1,100,120,"TT",19.8066007882924
0.3,100,120,"AC",24.5462022569478
0.1,80,100,"TT",15.8426649473649
0.3,80,100,"AC",21.4957786552096
0.1,100,100,"AC",24.3062071498803
0.3,100,100,"TT",18.2699370050709
0.1,80,120,"AC",21.925137771458
0.3,80,120,"TT",20.0500017452458
0.1,100,120,"TT",21.746310350865
0.3,100,120,"AC",24.5244393911532
0.1,80,100,"TT",16.5988866688462
0.3,80,100,"AC",20.5176378156358
0.1,100,100,"AC",24.8437429901035
0.3,100,100,"TT",18.1751207974212
0.1,80,120,"AC",24.5175198700866
0.3,80,120,"TT",18.5172419531706
0.1,100,120,"TT",20.1697087892382
0.3,100,120,"AC",25.2962031158874
0.1,80,100,"TT",15.4599341227546
0.3,80,100,"AC",21.2798102075666
0.1,100,100,"AC",25.4752602736826
0.3,100,100,"TT",18.833916874063
0.1,80,120,"AC",23.0780434445571
0.3,80,120,"TT",19.0772943890459
0.1,100,120,"TT",19.9231360615856
0.3,100,120,"AC",26.8102484293622
0.1,80,100,"TT",15.8071104007649
0.3,80,100,"AC",20.2875229198044
0.1,100,100,"AC",23.8876614819102
0.3,100,100,"TT",19.0187021704753
0.1,80,120,"AC",24.4339176347588
0.3,80,120,"TT",19.0198456459572
0.1,100,120,"TT",19.4485783333561
0.3,100,120,"AC",22.7058166352057
0.1,80,100,"TT",15.9663493200266
0.3,80,100,"AC",20.9544748568476
0.1,100,100,"AC",24.7049834554396
0.3,100,100,"TT",19.2646032725723
0.1,80,120,"AC",26.5452530939707
0.3,80,120,"TT",18.8398765975831
0.1,100,120,"TT",19.5063340969562
0.3,100,120,"AC",26.7291103694558
0.1,80,100,"TT",15.5004768310045
0.3,80,100,"AC",21.1762117094088
0.1,100,100,"AC",23.4067318713714
0.3,100,100,"TT",19.941722060912
0.1,80,120,"AC",21.9852180849409
0.3,80,120,"TT",17.7142092286427
0.1,100,120,"TT",21.9731907134542
0.3,100,120,"AC",26.9731653898201
0.1,80,100,"TT",15.7617606800324
0.3,80,100,"AC",21.2639792455862
0.1,100,100,"AC",23.9047528934027
0.3,100,100,"TT",19.3158359778253
0.1,80,120,"AC",24.9225099091841
0.3,80,120,"TT",18.6071113926487
0.1,100,120,"TT",21.3370005090124
0.3,100,120,"AC",24.4174345435014
0.1,80,100,"TT",16.3651631109194
0.3,80,100,"AC",21.1260991703407
0.1,100,100,"AC",26.2477549175684
0.3,100,100,"TT",19.6457168067252
0.1,80,120,"AC",24.7472946920058
0.3,80,120,"TT",19.2783467555496
0.1,100,120,"TT",19.7674818206131
0.3,100,120,"AC",24.2311179125362
0.1,80,100,"TT",15.9949811685211
0.3,80,100,"AC",23.0488039588235
0.1,100,100,"AC",24.7290429639794
0.3,100,100,"TT",18.4782399092719
0.1,80,120,"AC",24.2638067769562
0.3,80,120,"TT",18.7821827959755
0.1,100,120,"TT",18.8324863143053
0.3,100,120,"AC",25.8513039993774
0.1,80,100,"TT",14.5506274533356
0.3,80,100,"AC",20.7120319053188
0.1,100,100,"AC",25.6261808195362
0.3,100,100,"TT",18.4201076519232
0.1,80,120,"AC",23.8938362561723
0.3,80,120,"TT",19.7321956320047
0.1,100,120,"TT",20.5732581049307
0.3,100,120,"AC",24.8603399122981
0.1,80,100,"TT",15.7218999056036
0.3,80,100,"AC",22.8151209133423
0.1,100,100,"AC",25.3453576070973
0.3,100,100,"TT",19.0378676568985
0.1,80,120,"AC",24.234562162611
0.3,80,120,"TT",18.0755883980327
0.1,100,120,"TT",20.5707990517392
0.3,100,120,"AC",25.1678260734405
0.1,80,100,"TT",16.7422213816711
0.3,80,100,"AC",20.462226893566
0.1,100,100,"AC",24.1898962616266
0.3,100,100,"TT",18.8992380424478
0.1,80,120,"AC",22.7908540965209
0.3,80,120,"TT",19.2081119871165
0.1,100,120,"TT",20.6145895837913
0.3,100,120,"AC",26.517474625464
0.1,80,100,"TT",16.4476526716248
0.3,80,100,"AC",20.8309060387049
0.1,100,100,"AC",23.0213037432081
0.3,100,100,"TT",17.7225038985526
0.1,80,120,"AC",23.0515937669009
0.3,80,120,"TT",19.8642261203601
0.1,100,120,"TT",21.1126976237933
0.3,100,120,"AC",24.4003653104759
0.1,80,100,"TT",15.1657526382815
0.3,80,100,"AC",21.2743437224686
0.1,100,100,"AC",24.2382906764616
0.3,100,100,"TT",18.6996278779581
0.1,80,120,"AC",23.7197729265322
0.3,80,120,"TT",19.8839047259944
0.1,100,120,"TT",19.5199820381792
0.3,100,120,"AC",25.4107810278144
0.1,80,100,"TT",15.8453692180824
0.3,80,100,"AC",21.9980043147298
0.1,100,100,"AC",25.7860686163509
0.3,100,100,"TT",19.076076314235
0.1,80,120,"AC",24.2299436060088
0.3,80,120,"TT",20.2747223918805
0.1,100,120,"TT",20.5619909243233
0.3,100,120,"AC",23.0849624404709
0.1,80,100,"TT",16.2282698356154
0.3,80,100,"AC",20.7076629942345
0.1,100,100,"AC",25.0056957079719
0.3,100,100,"TT",19.0289631667249
0.1,80,120,"AC",24.5689771354381
0.3,80,120,"TT",20.8919934769475
0.1,100,120,"TT",18.7445477944885
0.3,100,120,"AC",25.5594206148551
0.1,80,100,"TT",17.4372528448994
0.3,80,100,"AC",20.0096632336419
0.1,100,100,"AC",23.399513972203
0.3,100,100,"TT",19.3574902845514
0.1,80,120,"AC",24.8630170503388
0.3,80,120,"TT",18.5992095030395
0.1,100,120,"TT",19.178151494243
0.3,100,120,"AC",27.0049262462936
0.1,80,100,"TT",15.9670323975616
0.3,80,100,"AC",21.7287686013956
0.1,100,100,"AC",24.5180331619904
0.3,100,100,"TT",19.2801474006333
0.1,80,120,"AC",25.4055184414759
0.3,80,120,"TT",18.503966813759
0.1,100,120,"TT",21.5905943545466
0.3,100,120,"AC",24.0495263155607
0.1,80,100,"TT",15.5958867008047
0.3,80,100,"AC",21.7964228555735
0.1,100,100,"AC",24.0943449557157
0.3,100,100,"TT",20.2709376293868
0.1,80,120,"AC",25.6569744848974
0.3,80,120,"TT",21.4081534511202
0.1,100,120,"TT",20.2180553088526
0.3,100,120,"AC",22.48750259457
0.1,80,100,"TT",16.3120488231109
0.3,80,100,"AC",21.4966457183402
0.1,100,100,"AC",24.0208607164557
0.3,100,100,"TT",20.7589051536586
0.1,80,120,"AC",22.6521408280178
0.3,80,120,"TT",18.9629273187479
0.1,100,120,"TT",18.4018876678864
0.3,100,120,"AC",25.1257510239786
0.1,80,100,"TT",15.5094762020813
0.3,80,100,"AC",21.6621000429353
0.1,100,100,"AC",23.8292384306687
0.3,100,100,"TT",19.8086254491858
0.1,80,120,"AC",24.2733551495573
0.3,80,120,"TT",20.560175768041
0.1,100,120,"TT",18.8852058169678
0.3,100,120,"AC",24.9685045865415
0.1,80,100,"TT",17.0397676127195
0.3,80,100,"AC",21.9444677679151
0.1,100,100,"AC",24.0309792941892
0.3,100,100,"TT",18.7778169827246
0.1,80,120,"AC",24.0855082118673
0.3,80,120,"TT",17.409271350866
0.1,100,120,"TT",18.3726181829726
0.3,100,120,"AC",24.4804729417514
0.1,80,100,"TT",18.025400584284
0.3,80,100,"AC",21.2765499766411
0.1,100,100,"AC",24.1064333633924
0.3,100,100,"TT",17.8743295160552
0.1,80,120,"AC",24.5186589175774
0.3,80,120,"TT",19.0584203773167
0.1,100,120,"TT",19.0598226742113
0.3,100,120,"AC",25.5921240396439
0.1,80,100,"TT",15.3022567334219
0.3,80,100,"AC",20.1761076254562
0.1,100,100,"AC",24.3145245762633
0.3,100,100,"TT",20.147786615419
0.1,80,120,"AC",23.9198911484992
0.3,80,120,"TT",19.9040472685632
0.1,100,120,"TT",19.9006887118524
0.3,100,120,"AC",24.7431404644365
0.1,80,100,"TT",17.5711659248007
0.3,80,100,"AC",23.8323718363084
0.1,100,100,"AC",23.4527182246402
0.3,100,100,"TT",20.1430841828658
0.1,80,120,"AC",22.9049504608108
0.3,80,120,"TT",18.8493594767734
0.1,100,120,"TT",18.6602151826181
0.3,100,120,"AC",25.4131765354232
0.1,80,100,"TT",15.9007707323509
0.3,80,100,"AC",21.893660134982
0.1,100,100,"AC",22.5062309918556
0.3,100,100,"TT",19.3150766385783
0.1,80,120,"AC",21.8657684698424
0.3,80,120,"TT",18.500944929475
0.1,100,120,"TT",20.8333583857735
0.3,100,120,"AC",24.919950715728
0.1,80,100,"TT",16.6138365100259
0.3,80,100,"AC",22.2246587282351
0.1,100,100,"AC",23.7775614476469
0.3,100,100,"TT",18.7184085758803
0.1,80,120,"AC",23.9975617803681
0.3,80,120,"TT",20.1174025536702
0.1,100,120,"TT",21.0326874631535
0.3,100,120,"AC",25.8198861255232
0.1,80,100,"TT",16.7158335318128
0.3,80,100,"AC",21.837212887115
0.1,100,100,"AC",24.2503894557562
0.3,100,100,"TT",18.8130820747468
0.1,80,120,"AC",23.5215502113304
0.3,80,120,"TT",19.7151488715166
0.1,100,120,"TT",19.9070776261646
0.3,100,120,"AC",25.8991580765636
0.1,80,100,"TT",15.8966299029025
0.3,80,100,"AC",20.5860427269491
