"Prev.Length","Match.Score","Prev.Type","Tile.Size","Browse.Time"
70,49,"TT",0.2,16.1751038385485
100,49,"TT",0.2,15.1363451178183
70,79,"TT",0.2,11.3916214305062
100,79,"TT",0.2,16.688232638545
85,64,"TT",0.2,11.3903558866999
70,49,"TT",0.2,16.2525935166547
100,49,"TT",0.2,16.6466893684188
70,79,"TT",0.2,9.82441833649279
100,79,"TT",0.2,15.2223948995264
85,64,"TT",0.2,12.4251453081437
70,49,"TT",0.2,16.0782445171612
100,49,"TT",0.2,15.8472429296395
70,79,"TT",0.2,10.2194082664939
100,79,"TT",0.2,16.5194651568245
85,64,"TT",0.2,11.1126832857905
70,49,"TT",0.2,15.4718623693865
100,49,"TT",0.2,14.6287215931437
70,79,"TT",0.2,9.34609757403687
100,79,"TT",0.2,15.294297864219
85,64,"TT",0.2,11.2955159668473
70,49,"TT",0.2,15.8873661265259
100,49,"TT",0.2,14.6773739157583
70,79,"TT",0.2,11.6047638588109
100,79,"TT",0.2,15.7015235608883
85,64,"TT",0.2,13.141401776583
70,49,"TT",0.2,17.4708422684029
100,49,"TT",0.2,15.269969765117
70,79,"TT",0.2,10.5141691162244
100,79,"TT",0.2,15.0120001517535
85,64,"TT",0.2,11.0722227267687
70,49,"TT",0.2,15.7773028898693
100,49,"TT",0.2,15.7997870423668
70,79,"TT",0.2,10.8570350333827
100,79,"TT",0.2,14.257674601868
85,64,"TT",0.2,13.768112564691
70,49,"TT",0.2,18.1976085193618
100,49,"TT",0.2,16.9067571774373
70,79,"TT",0.2,10.0119710997533
100,79,"TT",0.2,15.5055355178572
85,64,"TT",0.2,12.0628027874816
70,49,"TT",0.2,16.3093331667933
100,49,"TT",0.2,15.1358421654126
70,79,"TT",0.2,9.33997180899851
100,79,"TT",0.2,16.1982240933682
85,64,"TT",0.2,11.0935063280859
70,49,"TT",0.2,17.3863384792907
100,49,"TT",0.2,15.2947540661433
70,79,"TT",0.2,10.8769959878555
100,79,"TT",0.2,17.1982839404803
85,64,"TT",0.2,13.2557152793787
70,49,"TT",0.2,17.6733108032871
100,49,"TT",0.2,16.4018107221429
70,79,"TT",0.2,12.370216483794
100,79,"TT",0.2,14.6297877222649
85,64,"TT",0.2,12.706701369972
70,49,"TT",0.2,16.7618108776994
100,49,"TT",0.2,15.3446788462245
70,79,"TT",0.2,10.8276954303278
100,79,"TT",0.2,15.4083649638466
85,64,"TT",0.2,10.924137935609
70,49,"TT",0.2,16.4145144505597
100,49,"TT",0.2,13.7606361942084
70,79,"TT",0.2,9.99347498153079
100,79,"TT",0.2,16.3002806832301
85,64,"TT",0.2,9.51678048372785
70,49,"TT",0.2,16.8293808204678
100,49,"TT",0.2,15.1177346308233
70,79,"TT",0.2,11.3417893181337
100,79,"TT",0.2,15.9979445187942
85,64,"TT",0.2,11.2731999950975
70,49,"TT",0.2,14.6877882040807
100,49,"TT",0.2,16.0449125184351
70,79,"TT",0.2,9.81871177685495
100,79,"TT",0.2,14.0058470487309
85,64,"TT",0.2,11.7544135967493
70,49,"TT",0.2,16.7827290926981
100,49,"TT",0.2,15.9092635365736
70,79,"TT",0.2,8.03121622831939
100,79,"TT",0.2,15.8030163927988
85,64,"TT",0.2,10.4317121523442
70,49,"TT",0.2,15.1160103660642
100,49,"TT",0.2,17.24204719227
70,79,"TT",0.2,9.5948430002614
100,79,"TT",0.2,15.2296398386748
85,64,"TT",0.2,13.7542810986843
70,49,"TT",0.2,16.9685349459527
100,49,"TT",0.2,15.7982450992923
70,79,"TT",0.2,10.8417596189065
100,79,"TT",0.2,15.0657053148735
85,64,"TT",0.2,10.5686996791607
70,49,"TT",0.2,16.4459425973856
100,49,"TT",0.2,15.1616541831504
70,79,"TT",0.2,11.1716984576912
100,79,"TT",0.2,17.112958959103
85,64,"TT",0.2,11.916085235195
70,49,"TT",0.2,17.4300536918433
100,49,"TT",0.2,15.63823897856
70,79,"TT",0.2,11.1083760512321
100,79,"TT",0.2,16.7869902246588
85,64,"TT",0.2,12.130822645165
70,49,"TT",0.2,17.1815144355777
100,49,"TT",0.2,15.7970038536308
70,79,"TT",0.2,10.9046429083477
100,79,"TT",0.2,14.7614225369247
85,64,"TT",0.2,12.1648806508451
70,49,"TT",0.2,15.3488067207193
100,49,"TT",0.2,16.1708255934549
70,79,"TT",0.2,9.31483766423205
100,79,"TT",0.2,15.3144159901211
85,64,"TT",0.2,12.5886361838619
70,49,"TT",0.2,19.4392367352767
100,49,"TT",0.2,15.490740588026
70,79,"TT",0.2,9.25386160965821
100,79,"TT",0.2,17.383812032523
85,64,"TT",0.2,12.2277215878263
70,49,"TT",0.2,16.7845842601004
100,49,"TT",0.2,15.2016081087447
70,79,"TT",0.2,8.33699192430556
100,79,"TT",0.2,13.5610685419597
85,64,"TT",0.2,11.3411420409628
70,49,"TT",0.2,15.7607787986573
100,49,"TT",0.2,16.7833429480222
70,79,"TT",0.2,11.4059690078698
100,79,"TT",0.2,15.3756613034288
85,64,"TT",0.2,12.1455343893409
70,49,"TT",0.2,16.1774477173843
100,49,"TT",0.2,15.1008301825337
70,79,"TT",0.2,12.6706686061444
100,79,"TT",0.2,15.0204029024244
85,64,"TT",0.2,11.1267023549365
70,49,"TT",0.2,17.8948838794194
100,49,"TT",0.2,16.3504293075352
70,79,"TT",0.2,11.4968127754574
100,79,"TT",0.2,15.6207566951517
85,64,"TT",0.2,11.0500266019019
70,49,"TT",0.2,17.556181866966
100,49,"TT",0.2,15.2874860272687
70,79,"TT",0.2,8.15601720443313
100,79,"TT",0.2,14.778817776084
85,64,"TT",0.2,12.3626205154841
70,49,"TT",0.2,18.521922695786
100,49,"TT",0.2,14.0989133111377
70,79,"TT",0.2,8.26335888871513
100,79,"TT",0.2,16.9075190245589
85,64,"TT",0.2,10.9090397715147
70,49,"TT",0.2,17.062213682072
100,49,"TT",0.2,15.5775491494243
70,79,"TT",0.2,9.87033076690542
100,79,"TT",0.2,15.7738950466135
85,64,"TT",0.2,12.2543437553186
70,49,"TT",0.2,15.1610944410819
100,49,"TT",0.2,14.8731808729188
70,79,"TT",0.2,10.4799743606448
100,79,"TT",0.2,15.6366860738985
85,64,"TT",0.2,12.0678827811323
70,49,"TT",0.2,17.0753275119211
100,49,"TT",0.2,14.1713168401589
70,79,"TT",0.2,10.0499444357304
100,79,"TT",0.2,16.2287779426013
85,64,"TT",0.2,12.2682287864776
70,49,"TT",0.2,17.5226764848539
100,49,"TT",0.2,16.6749326091833
70,79,"TT",0.2,11.8456786306801
100,79,"TT",0.2,14.8344917412292
85,64,"TT",0.2,11.8835002900981
70,49,"TT",0.2,16.5810211877059
100,49,"TT",0.2,14.2526360122144
70,79,"TT",0.2,12.1370027001717
100,79,"TT",0.2,15.6340803341284
85,64,"TT",0.2,11.999833559961
70,49,"TT",0.2,18.4173867871775
100,49,"TT",0.2,14.191935046369
70,79,"TT",0.2,10.1238582747615
100,79,"TT",0.2,16.2841315852501
85,64,"TT",0.2,14.5973330851108
70,49,"TT",0.2,16.8899230944156
100,49,"TT",0.2,15.3199504028585
70,79,"TT",0.2,12.3851166813339
100,79,"TT",0.2,15.5543892099604
85,64,"TT",0.2,11.7032351214159
70,49,"TT",0.2,15.1161234356944
100,49,"TT",0.2,14.4934269361528
70,79,"TT",0.2,10.4236703921646
100,79,"TT",0.2,15.5617936550876
85,64,"TT",0.2,11.8990025990277
70,49,"TT",0.2,16.7992300227393
100,49,"TT",0.2,16.1399815698186
70,79,"TT",0.2,11.5235339036818
100,79,"TT",0.2,15.9653313604004
85,64,"TT",0.2,11.6455258732625
70,49,"TT",0.2,16.3080368104067
100,49,"TT",0.2,17.1579779023189
70,79,"TT",0.2,9.52743171537783
100,79,"TT",0.2,14.7310098262247
85,64,"TT",0.2,13.394887742593
70,49,"TT",0.2,15.0034027061874
100,49,"TT",0.2,15.1042836888419
70,79,"TT",0.2,11.4439306006924
100,79,"TT",0.2,16.6816921702333
85,64,"TT",0.2,13.319251267577
70,49,"TT",0.2,17.7651409800339
100,49,"TT",0.2,15.5129544424506
70,79,"TT",0.2,10.2753712129734
100,79,"TT",0.2,15.9297277517006
85,64,"TT",0.2,11.5092201389327
70,49,"TT",0.2,17.2150648790846
100,49,"TT",0.2,15.3509599889881
70,79,"TT",0.2,10.4381821832737
100,79,"TT",0.2,14.6908013906964
85,64,"TT",0.2,12.9806015511656
70,49,"TT",0.2,16.567705611755
100,49,"TT",0.2,16.1222983926492
70,79,"TT",0.2,10.5685472487712
100,79,"TT",0.2,15.5012164773771
85,64,"TT",0.2,12.5415295530102
70,49,"TT",0.2,18.4561016667805
100,49,"TT",0.2,14.1674662818988
70,79,"TT",0.2,10.4027692679986
100,79,"TT",0.2,15.989707697313
85,64,"TT",0.2,12.1790713896271
70,49,"TT",0.2,18.3989216434725
100,49,"TT",0.2,16.3916964546213
70,79,"TT",0.2,10.4983739234367
100,79,"TT",0.2,16.2718507191034
85,64,"TT",0.2,11.354451708177
70,49,"TT",0.2,16.5391183162571
100,49,"TT",0.2,15.3392105632108
70,79,"TT",0.2,10.8960943161161
100,79,"TT",0.2,16.619401637672
85,64,"TT",0.2,12.182436568661
70,49,"TT",0.2,16.1228249547571
100,49,"TT",0.2,16.0126153763717
70,79,"TT",0.2,9.83128261548915
100,79,"TT",0.2,16.1336864169494
85,64,"TT",0.2,12.9908870785717
70,49,"TT",0.2,17.5353368970872
100,49,"TT",0.2,15.8985273841359
70,79,"TT",0.2,10.43745972371
100,79,"TT",0.2,14.8325969361492
85,64,"TT",0.2,10.6535875390472
70,49,"TT",0.2,16.3806908724741
100,49,"TT",0.2,16.514865092237
70,79,"TT",0.2,10.9606841614613
100,79,"TT",0.2,15.8222110998567
85,64,"TT",0.2,10.3752495288696
70,49,"TT",0.2,15.2404310631592
100,49,"TT",0.2,15.7160442069504
70,79,"TT",0.2,11.0784147306355
100,79,"TT",0.2,16.0228987911682
85,64,"TT",0.2,11.6491425434684
70,49,"TT",0.2,16.4962294910304
100,49,"TT",0.2,16.2936629546914
70,79,"TT",0.2,9.75913316980656
100,79,"TT",0.2,15.6325232116505
85,64,"TT",0.2,12.2557446783364
70,49,"TT",0.2,17.0000529039651
100,49,"TT",0.2,16.5418586734543
70,79,"TT",0.2,11.9277590217666
100,79,"TT",0.2,16.1525058739891
85,64,"TT",0.2,11.8417323128296
70,49,"TT",0.2,18.0685246592448
100,49,"TT",0.2,15.1830619527652
70,79,"TT",0.2,10.014173622569
100,79,"TT",0.2,15.0235352667937
