"Prev.Length","Match.Score","Prev.Type","Tile.Size","Browse.Time"
65,64,"TT",0.2,13.2082258561771
105,64,"TT",0.2,16.2017994863291
85,44,"TT",0.2,17.9579628001435
85,84,"TT",0.2,11.9820908205575
65,64,"TT",0.2,13.1694398478765
105,64,"TT",0.2,16.9144845247461
85,44,"TT",0.2,18.2161446266448
85,84,"TT",0.2,11.305457287707
65,64,"TT",0.2,11.7903040856619
105,64,"TT",0.2,15.1958391687832
85,44,"TT",0.2,16.8563609789286
85,84,"TT",0.2,13.740404686952
65,64,"TT",0.2,11.6868456574063
105,64,"TT",0.2,14.8918573189228
85,44,"TT",0.2,16.9205263750613
85,84,"TT",0.2,11.9248634868689
65,64,"TT",0.2,12.7319019164827
105,64,"TT",0.2,16.4522004081501
85,44,"TT",0.2,18.6340094690041
85,84,"TT",0.2,13.9220897447819
65,64,"TT",0.2,11.0552910647177
105,64,"TT",0.2,16.0487656214706
85,44,"TT",0.2,16.1085112963444
85,84,"TT",0.2,14.0509941727154
65,64,"TT",0.2,13.1177629819078
105,64,"TT",0.2,16.2405296427967
85,44,"TT",0.2,16.1358329377353
85,84,"TT",0.2,13.8736688296971
65,64,"TT",0.2,12.9297795903188
105,64,"TT",0.2,16.1808944433218
85,44,"TT",0.2,17.6768223759974
85,84,"TT",0.2,12.3001542605884
65,64,"TT",0.2,13.8219626803555
105,64,"TT",0.2,13.5533211100235
85,44,"TT",0.2,17.8643213181967
85,84,"TT",0.2,13.265236382953
65,64,"TT",0.2,10.9742199244913
105,64,"TT",0.2,15.5876970748304
85,44,"TT",0.2,17.4082881655538
85,84,"TT",0.2,13.2976459546422
65,64,"TT",0.2,11.8676965551524
105,64,"TT",0.2,16.9818582557318
85,44,"TT",0.2,16.893907812185
85,84,"TT",0.2,13.4299527926858
65,64,"TT",0.2,15.1149170390152
105,64,"TT",0.2,17.3033854050738
85,44,"TT",0.2,16.4964310330045
85,84,"TT",0.2,15.2053846657872
65,64,"TT",0.2,11.9530119148115
105,64,"TT",0.2,15.2758183838876
85,44,"TT",0.2,18.5691081698025
85,84,"TT",0.2,14.3228287645439
65,64,"TT",0.2,13.2030250455945
105,64,"TT",0.2,15.6116812447225
85,44,"TT",0.2,18.1237330129451
85,84,"TT",0.2,13.0507008360396
65,64,"TT",0.2,13.7861725108262
105,64,"TT",0.2,16.15671961666
85,44,"TT",0.2,17.9889581460654
85,84,"TT",0.2,14.0672987488924
65,64,"TT",0.2,11.3985345680251
105,64,"TT",0.2,15.5100546732444
85,44,"TT",0.2,17.8529329106232
85,84,"TT",0.2,12.7019713715948
65,64,"TT",0.2,13.2575816176702
105,64,"TT",0.2,15.8819293766439
85,44,"TT",0.2,16.2596358387216
85,84,"TT",0.2,13.6685885842861
65,64,"TT",0.2,14.3104430321024
105,64,"TT",0.2,13.7588938291149
85,44,"TT",0.2,17.6034132778661
85,84,"TT",0.2,12.2049198466465
65,64,"TT",0.2,14.2302830788758
105,64,"TT",0.2,15.9198402878898
85,44,"TT",0.2,17.6414067470114
85,84,"TT",0.2,13.1949137782151
65,64,"TT",0.2,13.228064499563
105,64,"TT",0.2,15.5463098821098
85,44,"TT",0.2,15.6913688817747
85,84,"TT",0.2,12.5765880223606
65,64,"TT",0.2,10.011245604422
105,64,"TT",0.2,15.5817085520021
85,44,"TT",0.2,17.8911992249794
85,84,"TT",0.2,14.270516935357
65,64,"TT",0.2,14.034840059807
105,64,"TT",0.2,17.6598827329123
85,44,"TT",0.2,18.3661699962697
85,84,"TT",0.2,13.6291107607542
65,64,"TT",0.2,13.5149217675573
105,64,"TT",0.2,14.7926316894592
85,44,"TT",0.2,16.7264084420812
85,84,"TT",0.2,13.9510484811396
65,64,"TT",0.2,13.470356071472
105,64,"TT",0.2,15.1561234369744
85,44,"TT",0.2,17.6847261607331
85,84,"TT",0.2,13.2337670527486
65,64,"TT",0.2,11.6400484779544
105,64,"TT",0.2,14.9274467624141
85,44,"TT",0.2,15.0551640961359
85,84,"TT",0.2,13.2282612298078
65,64,"TT",0.2,11.5534600052461
105,64,"TT",0.2,15.6335195956032
85,44,"TT",0.2,17.0333061210537
85,84,"TT",0.2,13.2411907128529
65,64,"TT",0.2,11.7195311246484
105,64,"TT",0.2,17.8812955247967
